Gender,Ethnicity,Age,Parental Level of Education,Test Preparation Course,Math Score,Science Score,English Score
male,Chinese,16,high school,none,47,77,79
male,Malay,13,high school,none,41,55,70
female,Chinese,14,diploma,none,69,50,64
female,Chinese,15,high school,completed,48,56,73
female,Chinese,13,undergraduate degree,none,43,46,61
female,Chinese,16,undergraduate degree,completed,75,86,93
male,Malay,16,high school,none,82,55,67
male,Malay,16,diploma,completed,75,90,83
male,Malay,13,postgraduate degree,completed,82,72,86
male,Malay,15,diploma,none,60,71,79
female,Indian,17,diploma,none,28,47,76
male,Malay,13,undergraduate degree,none,76,69,54
female,Indian,14,undergraduate degree,none,41,43,64
female,Chinese,15,diploma,completed,46,62,78
male,Malay,15,undergraduate degree,none,23,35,52
male,Malay,13,high school,none,64,43,48
female,Malay,13,undergraduate degree,completed,84,57,53
male,Malay,16,diploma,none,40,64,45
female,Malay,15,postgraduate degree,none,81,54,54
female,Malay,14,postgraduate degree,none,46,29,78
female,Malay,13,high school,completed,78,64,60
female,Chinese,17,high school,none,39,40,58
female,Malay,16,diploma,completed,96,56,74
female,Malay,13,postgraduate degree,none,57,42,78
female,Malay,17,high school,none,65,78,84
female,Indian,13,postgraduate degree,completed,51,58,62
female,Malay,15,high school,none,23,65,62
female,Malay,17,diploma,none,25,71,88
female,Indian,17,high school,none,55,70,67
male,Malay,16,diploma,completed,90,95,86
female,Malay,15,high school,none,28,34,53
female,Malay,14,postgraduate degree,none,52,40,52
male,Chinese,17,high school,none,75,66,51
male,Malay,13,postgraduate degree,none,60,29,75
female,Malay,17,undergraduate degree,none,75,82,88
female,Malay,17,undergraduate degree,completed,62,82,88
male,Malay,17,diploma,none,43,57,50
male,Malay,14,high school,none,61,52,45
female,Malay,17,undergraduate degree,completed,53,83,92
male,Chinese,13,high school,none,59,84,79
male,Malay,13,undergraduate degree,none,81,81,87
male,Malay,15,undergraduate degree,none,41,50,79
male,Chinese,16,undergraduate degree,none,66,58,69
male,Chinese,16,high school,completed,79,60,46
female,Indian,16,high school,none,68,84,90
female,Chinese,17,undergraduate degree,completed,58,54,58
male,Chinese,17,diploma,none,68,37,50
female,Chinese,14,undergraduate degree,none,81,46,67
male,Malay,17,diploma,completed,50,53,75
male,Indian,17,high school,none,69,33,78
female,Malay,16,diploma,none,32,52,47
female,Malay,15,high school,completed,53,94,81
male,Malay,14,diploma,none,61,59,53
female,Malay,14,high school,none,37,26,79
male,Malay,16,high school,completed,56,71,75
female,Chinese,16,high school,none,38,25,65
female,Malay,15,diploma,none,75,31,64
male,Chinese,13,high school,none,39,35,56
female,Malay,14,undergraduate degree,none,71,50,67
male,Malay,17,high school,none,74,39,79
